file,importPath,feature,needsImportUpdateOnMove,testWorkspaceImpact,notes
tmp/check_history_popup_ui_move_hr1.mjs,(reference),test,False,False,static/test reference
tmp/check_history_popup_ui_move_hr1.mjs,(reference),test,True,False,static/test reference
tmp/check_history_popup_ui_move_hr1.mjs,(reference),test,False,False,static/test reference
tmp/check_history_popup_ui_move_hr1.mjs,(reference),test,False,False,static/test reference
tmp/check_history_popup_ui_move_hr1.mjs,(reference),test,False,False,static/test reference
tmp/check_history_popup_ui_move_hr1.mjs,(reference),test,False,False,static/test reference
tmp/check_history_popup_ui_move_hr1.mjs,(reference),test,False,False,static/test reference
tmp/check_history_popup_ui_move_hr1.mjs,(reference),test,False,False,static/test reference
tmp/check_app_providers_layout_move_cc1.mjs,(reference),test,True,False,static/test reference
tmp/check_app_providers_layout_move_cc1.mjs,(reference),test,False,False,static/test reference
tmp/check_lib_invoice_field_labels_common_move_1b.mjs,(reference),test,False,False,static/test reference
tmp/check_lib_invoice_field_labels_common_move_1b.mjs,(reference),test,True,False,static/test reference
tmp/check_lib_invoice_field_labels_common_move_1b.mjs,(reference),test,False,False,static/test reference
tmp/check_lib_invoice_table_display_common_move_1e.mjs,(reference),test,False,False,static/test reference
tmp/check_lib_invoice_table_display_common_move_1e.mjs,(reference),test,True,False,static/test reference
tmp/check_lib_invoice_table_display_common_move_1e.mjs,(reference),test,False,False,static/test reference
src/components/history/HistoryWorkspace.tsx,"import DetailHistoryView from ""./DetailHistoryView"";",history,True,False,production consumer
src/components/history/HistoryWorkspace.tsx,(reference),history,True,False,production consumer
tmp/codex_frontend_file_inventory_usage_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,True,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,"""importedSymbols"": ""DetailHistoryView"" if ""DetailHistoryView"" in text else """",",test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,True,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,"""moved DetailHistoryView.tsx의 ../layout/AppProviders relative import"",",test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,True,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,True,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,"""HistoryWorkspace import가 ./ui/DetailHistoryView인지 확인"",",test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,"""summary"": ""DetailHistoryView.tsx만 src/components/history/ui/DetailHistoryView.tsx로 이동하고 import path만 보정한다."",",test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,"""HR-2 move 단계에서 DetailHistoryView 단일 파일 이동 및 import path 보정 수행"",",test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,- production direct import: src/components/history/HistoryWorkspace.tsx (`./DetailHistoryView`),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,- HistoryWorkspace -> DetailHistoryView import 보정 필요.,test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,- DetailHistoryView -> `../layout/AppProviders` 상대 import는 이동 후 `../../layout/AppProviders`로 보정 필요.,test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,| src/components/history/DetailHistoryView.tsx 유지 | NO | import 수정 없음 | root에 상세 UI가 남음 | LOW |,test,True,False,static/test reference
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_clean_json_contract_precheck.py,(reference),test,True,False,static/test reference
tmp/codex_clean_json_contract_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_clean_json_contract_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_clean_json_contract_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_clean_json_contract_precheck.py,(reference),test,True,False,static/test reference
tmp/codex_clean_json_contract_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_history_restore_structure_precheck.py,(reference),test,True,False,static/test reference
tmp/codex_frontend_history_restore_structure_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_history_restore_structure_precheck.py,(reference),test,True,False,static/test reference
tmp/codex_frontend_history_restore_structure_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_history_restore_structure_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_history_restore_structure_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_lib_invoice_table_display_common_move_precheck.py,(reference),test,True,False,static/test reference
tmp/codex_frontend_lib_invoice_table_display_common_move_precheck.py,(reference),test,True,False,static/test reference
tmp/codex_frontend_target_structure_ownership_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_frontend_target_structure_ownership_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_preview_table_builder_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_preview_table_builder_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_table_renderer_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_table_renderer_precheck.py,(reference),test,False,False,static/test reference
tmp/codex_table_view_model_contract_precheck.py,(reference),test,False,False,static/test reference
